epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-23,1649216423,5.559398174285889,5.559398174285889,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.559398174285889,0,1,43dd66cb
1,47.47634069400631,False,,,2,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-24,1649216424,0.7333779335021973,6.292776107788086,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.292776107788086,0,2,43dd66cb
2,46.845425867507885,False,,,3,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-24,1649216424,0.725945234298706,7.018721342086792,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.018721342086792,0,3,43dd66cb
3,56.83491062039958,False,,,4,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-25,1649216425,0.7301383018493652,7.748859643936157,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.748859643936157,0,4,43dd66cb
4,40.063091482649845,False,,,5,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-26,1649216426,0.7156178951263428,8.4644775390625,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.4644775390625,0,5,43dd66cb
5,46.845425867507885,False,,,6,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-27,1649216427,0.7239129543304443,9.188390493392944,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.188390493392944,0,6,43dd66cb
6,60.1472134595163,False,,,7,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-27,1649216427,0.7414476871490479,9.929838180541992,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.929838180541992,0,7,43dd66cb
7,56.04626708727655,False,,,8,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-28,1649216428,0.7199914455413818,10.649829626083374,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.649829626083374,0,8,43dd66cb
8,53.10199789695058,False,,,9,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-29,1649216429,0.7090420722961426,11.358871698379517,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.358871698379517,0,9,43dd66cb
9,48.370136698212406,False,,,10,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-30,1649216430,0.7077500820159912,12.066621780395508,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.066621780395508,0,10,43dd66cb
10,47.89695057833859,False,,,11,043d62bd2a1c40418f3f7453d9fad631,2022-04-06_03-40-30,1649216430,0.7000851631164551,12.766706943511963,94122,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.766706943511963,0,11,43dd66cb
