epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-26,1649216426,5.963710308074951,5.963710308074951,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.963710308074951,0,1,442a842b
1,53.10199789695058,False,,,2,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-28,1649216428,1.8329763412475586,7.79668664932251,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.79668664932251,0,2,442a842b
2,53.10199789695058,False,,,3,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-30,1649216430,1.7144882678985596,9.51117491722107,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.51117491722107,0,3,442a842b
3,53.10199789695058,False,,,4,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-31,1649216431,1.7932393550872803,11.30441427230835,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.30441427230835,0,4,442a842b
4,53.10199789695058,False,,,5,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-33,1649216433,1.8258912563323975,13.130305528640747,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.130305528640747,0,5,442a842b
5,53.10199789695058,False,,,6,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-35,1649216435,1.8228609561920166,14.953166484832764,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.953166484832764,0,6,442a842b
6,53.10199789695058,False,,,7,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-37,1649216437,1.798701286315918,16.75186777114868,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.75186777114868,0,7,442a842b
7,53.10199789695058,False,,,8,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-38,1649216438,1.4750878810882568,18.22695565223694,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.22695565223694,0,8,442a842b
8,53.10199789695058,False,,,9,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-39,1649216439,0.688140869140625,18.915096521377563,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.915096521377563,0,9,442a842b
9,53.10199789695058,False,,,10,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-40,1649216440,0.6750504970550537,19.590147018432617,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.590147018432617,0,10,442a842b
10,53.10199789695058,False,,,11,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-41,1649216441,0.6762449741363525,20.26639199256897,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.26639199256897,0,11,442a842b
11,53.10199789695058,False,,,12,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-42,1649216442,0.6773738861083984,20.943765878677368,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.943765878677368,0,12,442a842b
12,53.10199789695058,False,,,13,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-43,1649216443,0.6888458728790283,21.632611751556396,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.632611751556396,0,13,442a842b
13,53.10199789695058,False,,,14,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-44,1649216444,0.6774866580963135,22.31009840965271,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.31009840965271,0,14,442a842b
14,53.10199789695058,False,,,15,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-44,1649216444,0.6731054782867432,22.983203887939453,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.983203887939453,0,15,442a842b
15,53.10199789695058,False,,,16,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-45,1649216445,0.7003645896911621,23.683568477630615,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.683568477630615,0,16,442a842b
16,53.10199789695058,False,,,17,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-46,1649216446,0.6771020889282227,24.360670566558838,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.360670566558838,0,17,442a842b
17,53.10199789695058,False,,,18,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-47,1649216447,0.6637225151062012,25.02439308166504,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.02439308166504,0,18,442a842b
18,53.10199789695058,False,,,19,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-48,1649216448,0.6746106147766113,25.69900369644165,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.69900369644165,0,19,442a842b
19,53.10199789695058,False,,,20,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-48,1649216448,0.6822514533996582,26.38125514984131,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.38125514984131,0,20,442a842b
20,53.10199789695058,False,,,21,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-49,1649216449,0.6739311218261719,27.05518627166748,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.05518627166748,0,21,442a842b
21,53.10199789695058,False,,,22,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-50,1649216450,0.6780707836151123,27.733257055282593,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.733257055282593,0,22,442a842b
22,53.10199789695058,False,,,23,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-51,1649216451,0.6687755584716797,28.402032613754272,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.402032613754272,0,23,442a842b
23,53.10199789695058,False,,,24,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-51,1649216451,0.6871256828308105,29.089158296585083,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.089158296585083,0,24,442a842b
24,53.10199789695058,False,,,25,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-52,1649216452,0.6831223964691162,29.7722806930542,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.7722806930542,0,25,442a842b
25,53.10199789695058,False,,,26,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-53,1649216453,0.6821801662445068,30.454460859298706,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.454460859298706,0,26,442a842b
26,53.10199789695058,False,,,27,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-54,1649216454,0.673004150390625,31.12746500968933,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.12746500968933,0,27,442a842b
27,53.10199789695058,False,,,28,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-55,1649216455,0.6810719966888428,31.808537006378174,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.808537006378174,0,28,442a842b
28,53.10199789695058,False,,,29,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-56,1649216456,0.6744353771209717,32.482972383499146,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.482972383499146,0,29,442a842b
29,53.10199789695058,False,,,30,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-56,1649216456,0.6859724521636963,33.16894483566284,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.16894483566284,0,30,442a842b
30,53.10199789695058,False,,,31,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-57,1649216457,0.6880550384521484,33.85699987411499,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.85699987411499,0,31,442a842b
31,53.10199789695058,False,,,32,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-58,1649216458,0.6873996257781982,34.54439949989319,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.54439949989319,0,32,442a842b
32,53.10199789695058,False,,,33,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-59,1649216459,0.689464807510376,35.233864307403564,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.233864307403564,0,33,442a842b
33,53.10199789695058,False,,,34,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-40-59,1649216459,0.7168209552764893,35.950685262680054,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.950685262680054,0,34,442a842b
34,53.10199789695058,False,,,35,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-41-00,1649216460,0.6681563854217529,36.61884164810181,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.61884164810181,0,35,442a842b
35,53.10199789695058,False,,,36,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-41-01,1649216461,0.6795659065246582,37.298407554626465,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.298407554626465,0,36,442a842b
36,53.10199789695058,False,,,37,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-41-02,1649216462,0.6822569370269775,37.98066449165344,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.98066449165344,0,37,442a842b
37,53.10199789695058,False,,,38,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-41-03,1649216463,0.6736903190612793,38.65435481071472,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.65435481071472,0,38,442a842b
38,53.10199789695058,False,,,39,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-41-03,1649216463,0.6685657501220703,39.32292056083679,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.32292056083679,0,39,442a842b
39,53.10199789695058,False,,,40,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-41-04,1649216464,0.6763265132904053,39.9992470741272,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.9992470741272,0,40,442a842b
40,53.10199789695058,False,,,41,1dcf2fbfacae4524974c3170b4dc2177,2022-04-06_03-41-05,1649216465,0.6702854633331299,40.66953253746033,94168,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.66953253746033,0,41,442a842b
