epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-35,1649216435,6.27866268157959,6.27866268157959,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.27866268157959,0,1,4533487e
1,53.10199789695058,False,,,2,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-37,1649216437,1.8031585216522217,8.081821203231812,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.081821203231812,0,2,4533487e
2,53.10199789695058,False,,,3,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-39,1649216439,1.8287124633789062,9.910533666610718,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.910533666610718,0,3,4533487e
3,53.10199789695058,False,,,4,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-40,1649216440,1.1787140369415283,11.089247703552246,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.089247703552246,0,4,4533487e
4,53.10199789695058,False,,,5,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-41,1649216441,0.7211623191833496,11.810410022735596,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.810410022735596,0,5,4533487e
5,53.10199789695058,False,,,6,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-43,1649216443,1.7720117568969727,13.582421779632568,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.582421779632568,0,6,4533487e
6,53.10199789695058,False,,,7,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-44,1649216444,1.4828524589538574,15.065274238586426,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.065274238586426,0,7,4533487e
7,53.10199789695058,False,,,8,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-46,1649216446,1.8306639194488525,16.89593815803528,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.89593815803528,0,8,4533487e
8,53.10199789695058,False,,,9,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-48,1649216448,1.847606897354126,18.743545055389404,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.743545055389404,0,9,4533487e
9,53.10199789695058,False,,,10,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-50,1649216450,1.8449671268463135,20.588512182235718,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.588512182235718,0,10,4533487e
10,53.10199789695058,False,,,11,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-52,1649216452,1.8401219844818115,22.42863416671753,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.42863416671753,0,11,4533487e
11,53.10199789695058,False,,,12,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-54,1649216454,1.816256046295166,24.244890213012695,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.244890213012695,0,12,4533487e
12,53.10199789695058,False,,,13,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-56,1649216456,1.8180937767028809,26.062983989715576,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.062983989715576,0,13,4533487e
13,53.10199789695058,False,,,14,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-57,1649216457,1.6715507507324219,27.734534740447998,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.734534740447998,0,14,4533487e
14,53.10199789695058,False,,,15,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-40-59,1649216459,1.8448121547698975,29.579346895217896,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.579346895217896,0,15,4533487e
15,53.10199789695058,False,,,16,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-01,1649216461,1.6345915794372559,31.21393847465515,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.21393847465515,0,16,4533487e
16,53.10199789695058,False,,,17,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-03,1649216463,1.8281030654907227,33.042041540145874,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.042041540145874,0,17,4533487e
17,53.10199789695058,False,,,18,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-05,1649216465,1.71504545211792,34.757086992263794,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.757086992263794,0,18,4533487e
18,53.10199789695058,False,,,19,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-07,1649216467,1.8539235591888428,36.61101055145264,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.61101055145264,0,19,4533487e
19,53.10199789695058,False,,,20,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-08,1649216468,1.6584868431091309,38.26949739456177,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.26949739456177,0,20,4533487e
20,53.10199789695058,False,,,21,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-10,1649216470,1.6282298564910889,39.897727251052856,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.897727251052856,0,21,4533487e
21,53.10199789695058,False,,,22,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-11,1649216471,0.7384982109069824,40.63622546195984,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.63622546195984,0,22,4533487e
22,53.10199789695058,False,,,23,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-12,1649216472,0.7297251224517822,41.36595058441162,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.36595058441162,0,23,4533487e
23,53.10199789695058,False,,,24,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-13,1649216473,0.7249376773834229,42.090888261795044,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.090888261795044,0,24,4533487e
24,53.10199789695058,False,,,25,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-14,1649216474,0.8619868755340576,42.9528751373291,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.9528751373291,0,25,4533487e
25,53.10199789695058,False,,,26,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-15,1649216475,1.5362863540649414,44.48916149139404,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.48916149139404,0,26,4533487e
26,53.10199789695058,False,,,27,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-17,1649216477,1.8142166137695312,46.303378105163574,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.303378105163574,0,27,4533487e
27,53.10199789695058,False,,,28,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-19,1649216479,1.6386232376098633,47.94200134277344,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.94200134277344,0,28,4533487e
28,53.10199789695058,False,,,29,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-21,1649216481,1.7291927337646484,49.671194076538086,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.671194076538086,0,29,4533487e
29,53.10199789695058,False,,,30,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-22,1649216482,1.6845569610595703,51.355751037597656,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.355751037597656,0,30,4533487e
30,53.10199789695058,False,,,31,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-24,1649216484,1.58333158493042,52.939082622528076,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.939082622528076,0,31,4533487e
31,53.10199789695058,False,,,32,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-26,1649216486,1.2792718410491943,54.21835446357727,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.21835446357727,0,32,4533487e
32,53.10199789695058,False,,,33,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-27,1649216487,1.7351112365722656,55.953465700149536,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,55.953465700149536,0,33,4533487e
33,53.10199789695058,False,,,34,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-29,1649216489,1.7894370555877686,57.742902755737305,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,57.742902755737305,0,34,4533487e
34,53.10199789695058,False,,,35,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-31,1649216491,1.6685664653778076,59.41146922111511,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,59.41146922111511,0,35,4533487e
35,53.10199789695058,False,,,36,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-33,1649216493,1.7811810970306396,61.19265031814575,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,61.19265031814575,0,36,4533487e
36,53.10199789695058,False,,,37,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-35,1649216495,1.7075247764587402,62.90017509460449,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,62.90017509460449,0,37,4533487e
37,53.10199789695058,False,,,38,5ca3da09e5b2473cb095f9bfc881b5e5,2022-04-06_03-41-37,1649216497,1.7356560230255127,64.63583111763,94138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,64.63583111763,0,38,4533487e
