epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-00,1649219460,7.43153977394104,7.43153977394104,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.43153977394104,0,1,52e7b3d9
1,53.10199789695058,False,,,2,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-02,1649219462,1.8168387413024902,9.24837851524353,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.24837851524353,0,2,52e7b3d9
2,53.10199789695058,False,,,3,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-04,1649219464,1.7798936367034912,11.028272151947021,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.028272151947021,0,3,52e7b3d9
3,53.10199789695058,False,,,4,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-05,1649219465,1.7730913162231445,12.801363468170166,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.801363468170166,0,4,52e7b3d9
4,53.10199789695058,False,,,5,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-07,1649219467,1.7609140872955322,14.562277555465698,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.562277555465698,0,5,52e7b3d9
5,53.10199789695058,False,,,6,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-09,1649219469,1.7736811637878418,16.33595871925354,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.33595871925354,0,6,52e7b3d9
6,53.10199789695058,False,,,7,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-11,1649219471,1.772031307220459,18.107990026474,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.107990026474,0,7,52e7b3d9
7,53.10199789695058,False,,,8,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-13,1649219473,1.7753620147705078,19.883352041244507,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.883352041244507,0,8,52e7b3d9
8,53.10199789695058,False,,,9,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-15,1649219475,1.790534257888794,21.6738862991333,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.6738862991333,0,9,52e7b3d9
9,53.10199789695058,False,,,10,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-16,1649219476,1.7572121620178223,23.431098461151123,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.431098461151123,0,10,52e7b3d9
10,53.10199789695058,False,,,11,dc10a65f40824999aa149df5a59dcff0,2022-04-06_04-31-18,1649219478,1.7865183353424072,25.21761679649353,94102,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.21761679649353,0,11,52e7b3d9
