epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-02,1649216882,6.272017955780029,6.272017955780029,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.272017955780029,0,1,54dad975
1,53.10199789695058,False,,,2,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-03,1649216883,1.2869908809661865,7.559008836746216,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.559008836746216,0,2,54dad975
2,53.10199789695058,False,,,3,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-04,1649216884,1.3605425357818604,8.919551372528076,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.919551372528076,0,3,54dad975
3,53.10199789695058,False,,,4,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-06,1649216886,1.724062204360962,10.643613576889038,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.643613576889038,0,4,54dad975
4,53.10199789695058,False,,,5,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-08,1649216888,1.6136350631713867,12.257248640060425,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.257248640060425,0,5,54dad975
5,53.10199789695058,False,,,6,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-09,1649216889,1.7828269004821777,14.040075540542603,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.040075540542603,0,6,54dad975
6,53.10199789695058,False,,,7,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-11,1649216891,1.7050695419311523,15.745145082473755,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.745145082473755,0,7,54dad975
7,53.10199789695058,False,,,8,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-13,1649216893,1.3985271453857422,17.143672227859497,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.143672227859497,0,8,54dad975
8,53.10199789695058,False,,,9,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-14,1649216894,1.5017015933990479,18.645373821258545,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.645373821258545,0,9,54dad975
9,53.10199789695058,False,,,10,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-16,1649216896,1.4342100620269775,20.079583883285522,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.079583883285522,0,10,54dad975
10,53.10199789695058,False,,,11,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-17,1649216897,1.7829174995422363,21.86250138282776,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.86250138282776,0,11,54dad975
11,53.10199789695058,False,,,12,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-19,1649216899,1.6900904178619385,23.552591800689697,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.552591800689697,0,12,54dad975
12,53.10199789695058,False,,,13,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-21,1649216901,1.8111343383789062,25.363726139068604,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.363726139068604,0,13,54dad975
13,53.10199789695058,False,,,14,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-23,1649216903,1.7676990032196045,27.131425142288208,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.131425142288208,0,14,54dad975
14,53.10199789695058,False,,,15,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-24,1649216904,1.7947719097137451,28.926197052001953,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.926197052001953,0,15,54dad975
15,53.10199789695058,False,,,16,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-26,1649216906,1.7587189674377441,30.684916019439697,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.684916019439697,0,16,54dad975
16,53.10199789695058,False,,,17,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-28,1649216908,1.7735059261322021,32.4584219455719,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.4584219455719,0,17,54dad975
17,53.10199789695058,False,,,18,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-30,1649216910,1.78859281539917,34.24701476097107,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.24701476097107,0,18,54dad975
18,53.10199789695058,False,,,19,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-32,1649216912,1.7791845798492432,36.02619934082031,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.02619934082031,0,19,54dad975
19,53.10199789695058,False,,,20,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-33,1649216913,1.7703402042388916,37.796539545059204,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.796539545059204,0,20,54dad975
20,53.10199789695058,False,,,21,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-35,1649216915,1.7821950912475586,39.57873463630676,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.57873463630676,0,21,54dad975
21,53.10199789695058,False,,,22,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-37,1649216917,1.7778277397155762,41.35656237602234,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.35656237602234,0,22,54dad975
22,53.10199789695058,False,,,23,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-39,1649216919,1.776149034500122,43.13271141052246,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.13271141052246,0,23,54dad975
23,53.10199789695058,False,,,24,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-39,1649216919,0.7060072422027588,43.83871865272522,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.83871865272522,0,24,54dad975
24,53.10199789695058,False,,,25,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-40,1649216920,0.6903464794158936,44.52906513214111,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.52906513214111,0,25,54dad975
25,53.10199789695058,False,,,26,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-41,1649216921,0.6970136165618896,45.226078748703,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.226078748703,0,26,54dad975
26,53.10199789695058,False,,,27,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-42,1649216922,0.6892485618591309,45.915327310562134,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.915327310562134,0,27,54dad975
27,53.10199789695058,False,,,28,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-42,1649216922,0.7103917598724365,46.62571907043457,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.62571907043457,0,28,54dad975
28,53.10199789695058,False,,,29,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-43,1649216923,0.6958222389221191,47.32154130935669,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.32154130935669,0,29,54dad975
29,53.10199789695058,False,,,30,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-44,1649216924,1.215555191040039,48.53709650039673,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.53709650039673,0,30,54dad975
30,53.10199789695058,False,,,31,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-46,1649216926,1.7822115421295166,50.319308042526245,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,50.319308042526245,0,31,54dad975
31,53.10199789695058,False,,,32,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-48,1649216928,1.7613043785095215,52.08061242103577,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.08061242103577,0,32,54dad975
32,53.10199789695058,False,,,33,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-50,1649216930,1.7498207092285156,53.83043313026428,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,53.83043313026428,0,33,54dad975
33,53.10199789695058,False,,,34,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-51,1649216931,1.78993558883667,55.62036871910095,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,55.62036871910095,0,34,54dad975
34,53.10199789695058,False,,,35,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-53,1649216933,1.7971115112304688,57.41748023033142,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,57.41748023033142,0,35,54dad975
35,53.10199789695058,False,,,36,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-55,1649216935,1.5110576152801514,58.92853784561157,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.92853784561157,0,36,54dad975
36,53.10199789695058,False,,,37,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-56,1649216936,1.7801487445831299,60.7086865901947,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,60.7086865901947,0,37,54dad975
37,53.10199789695058,False,,,38,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-48-58,1649216938,1.5573649406433105,62.26605153083801,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,62.26605153083801,0,38,54dad975
38,53.10199789695058,False,,,39,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-00,1649216940,1.7908604145050049,64.05691194534302,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,64.05691194534302,0,39,54dad975
39,53.10199789695058,False,,,40,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-01,1649216941,1.52376127243042,65.58067321777344,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,65.58067321777344,0,40,54dad975
40,53.10199789695058,False,,,41,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-03,1649216943,1.7100739479064941,67.29074716567993,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,67.29074716567993,0,41,54dad975
41,53.10199789695058,False,,,42,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-05,1649216945,1.7990524768829346,69.08979964256287,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,69.08979964256287,0,42,54dad975
42,53.10199789695058,False,,,43,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-06,1649216946,1.523374080657959,70.61317372322083,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,70.61317372322083,0,43,54dad975
43,53.10199789695058,False,,,44,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-08,1649216948,1.8030304908752441,72.41620421409607,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,72.41620421409607,0,44,54dad975
44,53.10199789695058,False,,,45,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-10,1649216950,1.459397792816162,73.87560200691223,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,73.87560200691223,0,45,54dad975
45,53.10199789695058,False,,,46,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-11,1649216951,1.785473108291626,75.66107511520386,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,75.66107511520386,0,46,54dad975
46,53.10199789695058,False,,,47,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-13,1649216953,1.3956472873687744,77.05672240257263,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,77.05672240257263,0,47,54dad975
47,53.10199789695058,False,,,48,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-14,1649216954,1.5500950813293457,78.60681748390198,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,78.60681748390198,0,48,54dad975
48,53.10199789695058,False,,,49,8acf99d57af34560a4ecbe167fdae752,2022-04-06_03-49-15,1649216955,0.702845573425293,79.30966305732727,94155,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,79.30966305732727,0,49,54dad975
