epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-23-57,1649219037,6.818421363830566,6.818421363830566,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.818421363830566,0,1,55b34cd6
1,53.10199789695058,False,,,2,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-23-59,1649219039,1.7565577030181885,8.574979066848755,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.574979066848755,0,2,55b34cd6
2,53.10199789695058,False,,,3,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-00,1649219040,1.7754848003387451,10.3504638671875,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.3504638671875,0,3,55b34cd6
3,53.10199789695058,False,,,4,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-02,1649219042,1.770996332168579,12.121460199356079,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.121460199356079,0,4,55b34cd6
4,53.10199789695058,False,,,5,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-04,1649219044,1.7582676410675049,13.879727840423584,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.879727840423584,0,5,55b34cd6
5,53.10199789695058,False,,,6,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-06,1649219046,1.758127212524414,15.637855052947998,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.637855052947998,0,6,55b34cd6
6,53.10199789695058,False,,,7,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-07,1649219047,1.7629039287567139,17.400758981704712,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.400758981704712,0,7,55b34cd6
7,53.10199789695058,False,,,8,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-09,1649219049,1.8018255233764648,19.202584505081177,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.202584505081177,0,8,55b34cd6
8,53.10199789695058,False,,,9,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-11,1649219051,1.7643003463745117,20.96688485145569,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.96688485145569,0,9,55b34cd6
9,53.10199789695058,False,,,10,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-13,1649219053,1.7493760585784912,22.71626091003418,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.71626091003418,0,10,55b34cd6
10,53.10199789695058,False,,,11,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-15,1649219055,1.769296646118164,24.485557556152344,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.485557556152344,0,11,55b34cd6
11,53.10199789695058,False,,,12,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-16,1649219056,1.7701435089111328,26.255701065063477,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.255701065063477,0,12,55b34cd6
12,53.10199789695058,False,,,13,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-18,1649219058,1.7587363719940186,28.014437437057495,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.014437437057495,0,13,55b34cd6
13,53.10199789695058,False,,,14,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-20,1649219060,1.7573368549346924,29.771774291992188,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.771774291992188,0,14,55b34cd6
14,53.10199789695058,False,,,15,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-22,1649219062,1.757430076599121,31.52920436859131,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.52920436859131,0,15,55b34cd6
15,53.10199789695058,False,,,16,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-23,1649219063,1.7599475383758545,33.28915190696716,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.28915190696716,0,16,55b34cd6
16,53.10199789695058,False,,,17,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-25,1649219065,1.7687866687774658,35.05793857574463,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.05793857574463,0,17,55b34cd6
17,53.10199789695058,False,,,18,5412711eb0e54b1aa1bd9effbb0dbf51,2022-04-06_04-24-27,1649219067,1.781376600265503,36.83931517601013,94119,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.83931517601013,0,18,55b34cd6
