epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-36,1649217756,7.340600252151489,7.340600252151489,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.340600252151489,0,1,5ce9622d
1,53.10199789695058,False,,,2,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-37,1649217757,1.2656171321868896,8.606217384338379,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.606217384338379,0,2,5ce9622d
2,53.10199789695058,False,,,3,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-39,1649217759,1.4475271701812744,10.053744554519653,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.053744554519653,0,3,5ce9622d
3,53.10199789695058,False,,,4,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-40,1649217760,1.5170629024505615,11.570807456970215,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.570807456970215,0,4,5ce9622d
4,53.10199789695058,False,,,5,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-41,1649217761,0.9544341564178467,12.525241613388062,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.525241613388062,0,5,5ce9622d
5,53.10199789695058,False,,,6,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-43,1649217763,1.709352970123291,14.234594583511353,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.234594583511353,0,6,5ce9622d
6,53.10199789695058,False,,,7,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-45,1649217765,1.7624385356903076,15.99703311920166,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.99703311920166,0,7,5ce9622d
7,53.10199789695058,False,,,8,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-47,1649217767,1.6249668598175049,17.621999979019165,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.621999979019165,0,8,5ce9622d
8,53.10199789695058,False,,,9,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-48,1649217768,1.7806317806243896,19.402631759643555,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.402631759643555,0,9,5ce9622d
9,53.10199789695058,False,,,10,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-50,1649217770,1.7545194625854492,21.157151222229004,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.157151222229004,0,10,5ce9622d
10,53.10199789695058,False,,,11,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-52,1649217772,1.769451379776001,22.926602602005005,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.926602602005005,0,11,5ce9622d
11,53.10199789695058,False,,,12,62f4f88f6b0647a0944954709aab471a,2022-04-06_04-02-54,1649217774,1.7471871376037598,24.673789739608765,94112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.673789739608765,0,12,5ce9622d
