epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-19,1649217379,7.1465325355529785,7.1465325355529785,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.1465325355529785,0,1,7c5b2914
1,53.10199789695058,False,,,2,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-19,1649217379,0.6614117622375488,7.807944297790527,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.807944297790527,0,2,7c5b2914
2,53.10199789695058,False,,,3,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-21,1649217381,1.643270492553711,9.451214790344238,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.451214790344238,0,3,7c5b2914
3,53.10199789695058,False,,,4,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-23,1649217383,1.6530218124389648,11.104236602783203,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.104236602783203,0,4,7c5b2914
4,53.10199789695058,False,,,5,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-24,1649217384,1.7552564144134521,12.859493017196655,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.859493017196655,0,5,7c5b2914
5,53.10199789695058,False,,,6,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-26,1649217386,1.7170963287353516,14.576589345932007,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.576589345932007,0,6,7c5b2914
6,53.10199789695058,False,,,7,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-28,1649217388,1.7906603813171387,16.367249727249146,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.367249727249146,0,7,7c5b2914
7,53.10199789695058,False,,,8,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-30,1649217390,1.7946057319641113,18.161855459213257,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.161855459213257,0,8,7c5b2914
8,53.10199789695058,False,,,9,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-32,1649217392,1.7897624969482422,19.9516179561615,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.9516179561615,0,9,7c5b2914
9,53.10199789695058,False,,,10,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-33,1649217393,1.7535662651062012,21.7051842212677,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.7051842212677,0,10,7c5b2914
10,53.10199789695058,False,,,11,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-35,1649217395,1.7508180141448975,23.456002235412598,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.456002235412598,0,11,7c5b2914
11,53.10199789695058,False,,,12,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-37,1649217397,1.709421157836914,25.16542339324951,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.16542339324951,0,12,7c5b2914
12,53.10199789695058,False,,,13,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-38,1649217398,1.7378313541412354,26.903254747390747,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.903254747390747,0,13,7c5b2914
13,53.10199789695058,False,,,14,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-40,1649217400,1.7793614864349365,28.682616233825684,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.682616233825684,0,14,7c5b2914
14,53.10199789695058,False,,,15,1432142878c84f2f9e6a9073dcfc97d7,2022-04-06_03-56-42,1649217402,1.7927579879760742,30.475374221801758,94141,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.475374221801758,0,15,7c5b2914
