epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-43,1649218243,5.917765140533447,5.917765140533447,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.917765140533447,0,1,8056aaf7
1,53.10199789695058,False,,,2,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-44,1649218244,1.2257401943206787,7.143505334854126,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.143505334854126,0,2,8056aaf7
2,53.10199789695058,False,,,3,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-45,1649218245,0.694969654083252,7.838474988937378,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.838474988937378,0,3,8056aaf7
3,53.10199789695058,False,,,4,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-46,1649218246,0.696434736251831,8.534909725189209,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.534909725189209,0,4,8056aaf7
4,53.10199789695058,False,,,5,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-47,1649218247,0.6871011257171631,9.222010850906372,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.222010850906372,0,5,8056aaf7
5,53.10199789695058,False,,,6,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-47,1649218247,0.6706888675689697,9.892699718475342,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.892699718475342,0,6,8056aaf7
6,53.10199789695058,False,,,7,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-48,1649218248,0.6722855567932129,10.564985275268555,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.564985275268555,0,7,8056aaf7
7,53.10199789695058,False,,,8,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-49,1649218249,0.6714603900909424,11.236445665359497,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.236445665359497,0,8,8056aaf7
8,53.10199789695058,False,,,9,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-49,1649218249,0.6800746917724609,11.916520357131958,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.916520357131958,0,9,8056aaf7
9,53.10199789695058,False,,,10,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-50,1649218250,0.6715655326843262,12.588085889816284,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.588085889816284,0,10,8056aaf7
10,53.10199789695058,False,,,11,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-51,1649218251,0.6988506317138672,13.286936521530151,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.286936521530151,0,11,8056aaf7
11,53.10199789695058,False,,,12,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-52,1649218252,0.6899318695068359,13.976868391036987,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.976868391036987,0,12,8056aaf7
12,53.10199789695058,False,,,13,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-52,1649218252,0.6711790561676025,14.64804744720459,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.64804744720459,0,13,8056aaf7
13,53.10199789695058,False,,,14,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-53,1649218253,0.6669831275939941,15.315030574798584,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.315030574798584,0,14,8056aaf7
14,53.10199789695058,False,,,15,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-54,1649218254,0.6796629428863525,15.994693517684937,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.994693517684937,0,15,8056aaf7
15,53.10199789695058,False,,,16,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-54,1649218254,0.6612453460693359,16.655938863754272,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.655938863754272,0,16,8056aaf7
16,53.10199789695058,False,,,17,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-55,1649218255,0.6726911067962646,17.328629970550537,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.328629970550537,0,17,8056aaf7
17,53.10199789695058,False,,,18,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-56,1649218256,0.6645598411560059,17.993189811706543,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.993189811706543,0,18,8056aaf7
18,53.10199789695058,False,,,19,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-56,1649218256,0.6494908332824707,18.642680644989014,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.642680644989014,0,19,8056aaf7
19,53.10199789695058,False,,,20,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-57,1649218257,0.6636409759521484,19.306321620941162,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.306321620941162,0,20,8056aaf7
20,53.10199789695058,False,,,21,2cad2b1f83a6454982afc51758417fc6,2022-04-06_04-10-58,1649218258,0.6717164516448975,19.97803807258606,94157,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.97803807258606,0,21,8056aaf7
