epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-27,1649216967,6.522829055786133,6.522829055786133,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.522829055786133,0,1,87e5af05
1,53.10199789695058,False,,,2,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-29,1649216969,1.6516635417938232,8.174492597579956,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.174492597579956,0,2,87e5af05
2,53.10199789695058,False,,,3,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-31,1649216971,1.690077304840088,9.864569902420044,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.864569902420044,0,3,87e5af05
3,53.10199789695058,False,,,4,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-33,1649216973,1.6927580833435059,11.55732798576355,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.55732798576355,0,4,87e5af05
4,53.10199789695058,False,,,5,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-34,1649216974,1.500394344329834,13.057722330093384,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.057722330093384,0,5,87e5af05
5,53.10199789695058,False,,,6,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-35,1649216975,1.4269683361053467,14.48469066619873,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.48469066619873,0,6,87e5af05
6,53.10199789695058,False,,,7,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-37,1649216977,1.311194896697998,15.795885562896729,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.795885562896729,0,7,87e5af05
7,53.10199789695058,False,,,8,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-39,1649216979,1.7388114929199219,17.53469705581665,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.53469705581665,0,8,87e5af05
8,53.10199789695058,False,,,9,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-40,1649216980,1.7122282981872559,19.246925354003906,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.246925354003906,0,9,87e5af05
9,53.10199789695058,False,,,10,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-42,1649216982,1.4322867393493652,20.67921209335327,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.67921209335327,0,10,87e5af05
10,53.10199789695058,False,,,11,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-44,1649216984,1.774437427520752,22.453649520874023,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.453649520874023,0,11,87e5af05
11,53.10199789695058,False,,,12,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-45,1649216985,1.4339368343353271,23.88758635520935,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.88758635520935,0,12,87e5af05
12,53.10199789695058,False,,,13,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-46,1649216986,1.3477692604064941,25.235355615615845,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.235355615615845,0,13,87e5af05
13,53.10199789695058,False,,,14,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-48,1649216988,1.587606430053711,26.822962045669556,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.822962045669556,0,14,87e5af05
14,53.10199789695058,False,,,15,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-50,1649216990,1.7649109363555908,28.587872982025146,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.587872982025146,0,15,87e5af05
15,53.10199789695058,False,,,16,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-51,1649216991,1.463482141494751,30.051355123519897,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.051355123519897,0,16,87e5af05
16,53.10199789695058,False,,,17,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-53,1649216993,1.461568832397461,31.51292395591736,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.51292395591736,0,17,87e5af05
17,53.10199789695058,False,,,18,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-54,1649216994,1.4185731410980225,32.93149709701538,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.93149709701538,0,18,87e5af05
18,53.10199789695058,False,,,19,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-56,1649216996,1.687513828277588,34.61901092529297,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.61901092529297,0,19,87e5af05
19,53.10199789695058,False,,,20,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-57,1649216997,1.5732176303863525,36.19222855567932,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.19222855567932,0,20,87e5af05
20,53.10199789695058,False,,,21,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-49-59,1649216999,1.442415714263916,37.63464426994324,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.63464426994324,0,21,87e5af05
21,53.10199789695058,False,,,22,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-01,1649217001,1.7793776988983154,39.41402196884155,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.41402196884155,0,22,87e5af05
22,53.10199789695058,False,,,23,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-02,1649217002,1.2627613544464111,40.676783323287964,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.676783323287964,0,23,87e5af05
23,53.10199789695058,False,,,24,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-04,1649217004,1.5972721576690674,42.27405548095703,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.27405548095703,0,24,87e5af05
24,53.10199789695058,False,,,25,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-05,1649217005,1.6558756828308105,43.92993116378784,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.92993116378784,0,25,87e5af05
25,53.10199789695058,False,,,26,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-07,1649217007,1.4128942489624023,45.342825412750244,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.342825412750244,0,26,87e5af05
26,53.10199789695058,False,,,27,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-08,1649217008,1.338632583618164,46.68145799636841,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.68145799636841,0,27,87e5af05
27,53.10199789695058,False,,,28,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-10,1649217010,1.5742928981781006,48.25575089454651,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.25575089454651,0,28,87e5af05
28,53.10199789695058,False,,,29,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-11,1649217011,1.592010498046875,49.847761392593384,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.847761392593384,0,29,87e5af05
29,53.10199789695058,False,,,30,48727d3bdc244015a9fc28dffd2a1a71,2022-04-06_03-50-13,1649217013,1.435474157333374,51.28323554992676,94139,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.28323554992676,0,30,87e5af05
