epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-31,1649219551,4.808629274368286,4.808629274368286,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.808629274368286,0,1,8a2399c0
1,53.10199789695058,False,,,2,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-32,1649219552,0.6935446262359619,5.502173900604248,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.502173900604248,0,2,8a2399c0
2,53.10199789695058,False,,,3,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-32,1649219552,0.6956210136413574,6.1977949142456055,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.1977949142456055,0,3,8a2399c0
3,53.10199789695058,False,,,4,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-33,1649219553,0.6870822906494141,6.8848772048950195,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.8848772048950195,0,4,8a2399c0
4,53.10199789695058,False,,,5,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-34,1649219554,0.6882505416870117,7.573127746582031,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.573127746582031,0,5,8a2399c0
5,53.10199789695058,False,,,6,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-35,1649219555,0.6769990921020508,8.250126838684082,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.250126838684082,0,6,8a2399c0
6,53.10199789695058,False,,,7,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-35,1649219555,0.6718943119049072,8.92202115058899,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.92202115058899,0,7,8a2399c0
7,53.10199789695058,False,,,8,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-36,1649219556,0.6813204288482666,9.603341579437256,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.603341579437256,0,8,8a2399c0
8,53.10199789695058,False,,,9,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-37,1649219557,0.6801731586456299,10.283514738082886,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.283514738082886,0,9,8a2399c0
9,53.10199789695058,False,,,10,750f3d0401384009b97c6192d2e227c7,2022-04-06_04-32-37,1649219557,0.6730995178222656,10.956614255905151,94121,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.956614255905151,0,10,8a2399c0
