epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-56-57,1649217417,5.849135637283325,5.849135637283325,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.849135637283325,0,1,936d70c3
1,53.10199789695058,False,,,2,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-56-58,1649217418,1.515434980392456,7.364570617675781,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.364570617675781,0,2,936d70c3
2,53.10199789695058,False,,,3,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-00,1649217420,1.6655797958374023,9.030150413513184,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.030150413513184,0,3,936d70c3
3,53.10199789695058,False,,,4,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-02,1649217422,1.7071139812469482,10.737264394760132,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.737264394760132,0,4,936d70c3
4,53.10199789695058,False,,,5,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-04,1649217424,1.7582190036773682,12.4954833984375,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.4954833984375,0,5,936d70c3
5,53.10199789695058,False,,,6,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-05,1649217425,1.70835542678833,14.20383882522583,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.20383882522583,0,6,936d70c3
6,53.10199789695058,False,,,7,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-07,1649217427,1.7219412326812744,15.925780057907104,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.925780057907104,0,7,936d70c3
7,53.10199789695058,False,,,8,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-09,1649217429,1.7311794757843018,17.656959533691406,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.656959533691406,0,8,936d70c3
8,53.10199789695058,False,,,9,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-11,1649217431,1.7531661987304688,19.410125732421875,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.410125732421875,0,9,936d70c3
9,53.10199789695058,False,,,10,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-12,1649217432,1.67722749710083,21.087353229522705,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.087353229522705,0,10,936d70c3
10,53.10199789695058,False,,,11,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-14,1649217434,1.7604398727416992,22.847793102264404,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.847793102264404,0,11,936d70c3
11,53.10199789695058,False,,,12,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-16,1649217436,1.7423949241638184,24.590188026428223,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.590188026428223,0,12,936d70c3
12,53.10199789695058,False,,,13,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-18,1649217438,1.7619340419769287,26.35212206840515,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.35212206840515,0,13,936d70c3
13,53.10199789695058,False,,,14,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-19,1649217439,1.697033166885376,28.049155235290527,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.049155235290527,0,14,936d70c3
14,53.10199789695058,False,,,15,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-21,1649217441,1.722874402999878,29.772029638290405,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.772029638290405,0,15,936d70c3
15,53.10199789695058,False,,,16,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-23,1649217443,1.7340354919433594,31.506065130233765,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.506065130233765,0,16,936d70c3
16,53.10199789695058,False,,,17,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-24,1649217444,1.663487434387207,33.16955256462097,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.16955256462097,0,17,936d70c3
17,53.10199789695058,False,,,18,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-26,1649217446,2.004239797592163,35.173792362213135,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.173792362213135,0,18,936d70c3
18,53.10199789695058,False,,,19,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-28,1649217448,1.7664661407470703,36.940258502960205,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.940258502960205,0,19,936d70c3
19,53.10199789695058,False,,,20,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-30,1649217450,1.7530550956726074,38.69331359863281,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.69331359863281,0,20,936d70c3
20,53.10199789695058,False,,,21,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-32,1649217452,1.7405049800872803,40.43381857872009,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.43381857872009,0,21,936d70c3
21,53.10199789695058,False,,,22,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-33,1649217453,1.7542498111724854,42.18806838989258,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.18806838989258,0,22,936d70c3
22,53.10199789695058,False,,,23,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-35,1649217455,1.7550535202026367,43.943121910095215,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.943121910095215,0,23,936d70c3
23,53.10199789695058,False,,,24,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-37,1649217457,1.7538886070251465,45.69701051712036,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.69701051712036,0,24,936d70c3
24,53.10199789695058,False,,,25,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-39,1649217459,1.7733879089355469,47.47039842605591,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.47039842605591,0,25,936d70c3
25,53.10199789695058,False,,,26,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-40,1649217460,1.7668564319610596,49.23725485801697,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.23725485801697,0,26,936d70c3
26,53.10199789695058,False,,,27,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-42,1649217462,1.7745845317840576,51.011839389801025,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.011839389801025,0,27,936d70c3
27,53.10199789695058,False,,,28,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-44,1649217464,1.7770440578460693,52.788883447647095,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.788883447647095,0,28,936d70c3
28,53.10199789695058,False,,,29,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-46,1649217466,1.772552728652954,54.56143617630005,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.56143617630005,0,29,936d70c3
29,53.10199789695058,False,,,30,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-48,1649217468,1.765739917755127,56.327176094055176,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.327176094055176,0,30,936d70c3
30,53.10199789695058,False,,,31,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-49,1649217469,1.7696375846862793,58.096813678741455,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.096813678741455,0,31,936d70c3
31,53.10199789695058,False,,,32,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-51,1649217471,1.7689003944396973,59.86571407318115,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,59.86571407318115,0,32,936d70c3
32,53.10199789695058,False,,,33,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-53,1649217473,1.7224113941192627,61.588125467300415,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,61.588125467300415,0,33,936d70c3
33,53.10199789695058,False,,,34,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-55,1649217475,1.6739583015441895,63.262083768844604,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,63.262083768844604,0,34,936d70c3
34,53.10199789695058,False,,,35,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-56,1649217476,1.7584526538848877,65.02053642272949,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,65.02053642272949,0,35,936d70c3
35,53.10199789695058,False,,,36,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-57-58,1649217478,1.7483668327331543,66.76890325546265,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,66.76890325546265,0,36,936d70c3
36,53.10199789695058,False,,,37,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-00,1649217480,1.7485246658325195,68.51742792129517,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,68.51742792129517,0,37,936d70c3
37,53.10199789695058,False,,,38,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-02,1649217482,1.7493371963500977,70.26676511764526,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,70.26676511764526,0,38,936d70c3
38,53.10199789695058,False,,,39,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-03,1649217483,1.7111380100250244,71.97790312767029,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,71.97790312767029,0,39,936d70c3
39,53.10199789695058,False,,,40,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-05,1649217485,1.7350053787231445,73.71290850639343,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,73.71290850639343,0,40,936d70c3
40,53.10199789695058,False,,,41,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-07,1649217487,1.7731099128723145,75.48601841926575,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,75.48601841926575,0,41,936d70c3
41,53.10199789695058,False,,,42,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-09,1649217489,1.7280972003936768,77.21411561965942,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,77.21411561965942,0,42,936d70c3
42,53.10199789695058,False,,,43,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-10,1649217490,1.7686541080474854,78.98276972770691,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,78.98276972770691,0,43,936d70c3
43,53.10199789695058,False,,,44,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-12,1649217492,1.750694990158081,80.73346471786499,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,80.73346471786499,0,44,936d70c3
44,53.10199789695058,False,,,45,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-14,1649217494,1.764934778213501,82.49839949607849,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,82.49839949607849,0,45,936d70c3
45,53.10199789695058,False,,,46,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-16,1649217496,1.7052478790283203,84.20364737510681,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,84.20364737510681,0,46,936d70c3
46,53.10199789695058,False,,,47,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-17,1649217497,1.7458164691925049,85.94946384429932,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,85.94946384429932,0,47,936d70c3
47,53.10199789695058,False,,,48,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-19,1649217499,1.7344095706939697,87.68387341499329,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,87.68387341499329,0,48,936d70c3
48,53.10199789695058,False,,,49,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-21,1649217501,1.7656545639038086,89.4495279788971,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,89.4495279788971,0,49,936d70c3
49,53.10199789695058,False,,,50,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-23,1649217503,1.7708241939544678,91.22035217285156,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,91.22035217285156,0,50,936d70c3
50,53.10199789695058,False,,,51,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-24,1649217504,1.7318248748779297,92.95217704772949,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,92.95217704772949,0,51,936d70c3
51,53.10199789695058,False,,,52,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-26,1649217506,1.670480728149414,94.6226577758789,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,94.6226577758789,0,52,936d70c3
52,53.10199789695058,False,,,53,4b4fe8b7b8af4509ba1bc55c5d0b78fe,2022-04-06_03-58-28,1649217508,1.681431770324707,96.30408954620361,94162,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,96.30408954620361,0,53,936d70c3
