epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-49,1649217049,4.292931795120239,4.292931795120239,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.292931795120239,0,1,b8d46d94
1,53.10199789695058,False,,,2,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-49,1649217049,0.6998519897460938,4.992783784866333,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.992783784866333,0,2,b8d46d94
2,53.10199789695058,False,,,3,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-50,1649217050,0.7175321578979492,5.710315942764282,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.710315942764282,0,3,b8d46d94
3,53.10199789695058,False,,,4,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-51,1649217051,0.7129592895507812,6.4232752323150635,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.4232752323150635,0,4,b8d46d94
4,53.10199789695058,False,,,5,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-52,1649217052,0.778897762298584,7.2021729946136475,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2021729946136475,0,5,b8d46d94
5,53.10199789695058,False,,,6,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-52,1649217052,0.7207241058349609,7.922897100448608,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.922897100448608,0,6,b8d46d94
6,53.10199789695058,False,,,7,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-53,1649217053,0.7176835536956787,8.640580654144287,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.640580654144287,0,7,b8d46d94
7,53.10199789695058,False,,,8,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-54,1649217054,0.7344110012054443,9.374991655349731,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.374991655349731,0,8,b8d46d94
8,53.10199789695058,False,,,9,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-55,1649217055,0.7259843349456787,10.10097599029541,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.10097599029541,0,9,b8d46d94
9,53.10199789695058,False,,,10,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-55,1649217055,0.707953929901123,10.808929920196533,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.808929920196533,0,10,b8d46d94
10,53.10199789695058,False,,,11,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-56,1649217056,0.7103705406188965,11.51930046081543,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.51930046081543,0,11,b8d46d94
11,53.10199789695058,False,,,12,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-57,1649217057,0.7093102931976318,12.228610754013062,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.228610754013062,0,12,b8d46d94
12,53.10199789695058,False,,,13,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-57,1649217057,0.7064909934997559,12.935101747512817,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.935101747512817,0,13,b8d46d94
13,53.10199789695058,False,,,14,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-58,1649217058,0.7104396820068359,13.645541429519653,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.645541429519653,0,14,b8d46d94
14,53.10199789695058,False,,,15,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-50-59,1649217059,0.7178676128387451,14.363409042358398,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.363409042358398,0,15,b8d46d94
15,53.10199789695058,False,,,16,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-00,1649217060,0.7137899398803711,15.07719898223877,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.07719898223877,0,16,b8d46d94
16,53.10199789695058,False,,,17,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-00,1649217060,0.7048921585083008,15.78209114074707,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.78209114074707,0,17,b8d46d94
17,53.10199789695058,False,,,18,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-01,1649217061,0.7074244022369385,16.48951554298401,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.48951554298401,0,18,b8d46d94
18,53.10199789695058,False,,,19,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-02,1649217062,0.709498405456543,17.19901394844055,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.19901394844055,0,19,b8d46d94
19,53.10199789695058,False,,,20,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-02,1649217062,0.7063004970550537,17.905314445495605,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.905314445495605,0,20,b8d46d94
20,53.10199789695058,False,,,21,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-03,1649217063,0.7095870971679688,18.614901542663574,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.614901542663574,0,21,b8d46d94
21,53.10199789695058,False,,,22,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-04,1649217064,0.712059736251831,19.326961278915405,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.326961278915405,0,22,b8d46d94
22,53.10199789695058,False,,,23,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-05,1649217065,0.7131631374359131,20.04012441635132,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.04012441635132,0,23,b8d46d94
23,53.10199789695058,False,,,24,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-05,1649217065,0.7069039344787598,20.747028350830078,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.747028350830078,0,24,b8d46d94
24,53.10199789695058,False,,,25,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-06,1649217066,0.7109248638153076,21.457953214645386,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.457953214645386,0,25,b8d46d94
25,53.10199789695058,False,,,26,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-07,1649217067,0.7162911891937256,22.17424440383911,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.17424440383911,0,26,b8d46d94
26,53.10199789695058,False,,,27,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-07,1649217067,0.71710205078125,22.89134645462036,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.89134645462036,0,27,b8d46d94
27,53.10199789695058,False,,,28,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-08,1649217068,0.719681978225708,23.61102843284607,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.61102843284607,0,28,b8d46d94
28,53.10199789695058,False,,,29,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-09,1649217069,0.7144186496734619,24.32544708251953,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.32544708251953,0,29,b8d46d94
29,53.10199789695058,False,,,30,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-10,1649217070,0.7236316204071045,25.049078702926636,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.049078702926636,0,30,b8d46d94
30,53.10199789695058,False,,,31,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-10,1649217070,0.7120993137359619,25.761178016662598,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.761178016662598,0,31,b8d46d94
31,53.10199789695058,False,,,32,dce3729b942f4b99a11890243fa4d6d6,2022-04-06_03-51-11,1649217071,0.7031967639923096,26.464374780654907,94134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.464374780654907,0,32,b8d46d94
