epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,66.61409043112513,False,,,1,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-48,1649216628,5.079480886459351,5.079480886459351,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.079480886459351,0,1,ba5d1d0f
1,67.98107255520505,False,,,2,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-48,1649216628,0.6947288513183594,5.77420973777771,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.77420973777771,0,2,ba5d1d0f
2,68.24395373291271,False,,,3,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-49,1649216629,0.7066223621368408,6.480832099914551,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.480832099914551,0,3,ba5d1d0f
3,68.664563617245,False,,,4,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-50,1649216630,0.6915915012359619,7.172423601150513,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.172423601150513,0,4,ba5d1d0f
4,69.71608832807571,False,,,5,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-51,1649216631,0.703094482421875,7.875518083572388,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.875518083572388,0,5,ba5d1d0f
5,70.24185068349105,False,,,6,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-52,1649216632,0.7081241607666016,8.58364224433899,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.58364224433899,0,6,ba5d1d0f
6,70.24185068349105,False,,,7,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-52,1649216632,0.6860430240631104,9.2696852684021,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.2696852684021,0,7,ba5d1d0f
7,70.92534174553103,False,,,8,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-53,1649216633,0.7229213714599609,9.99260663986206,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.99260663986206,0,8,ba5d1d0f
8,71.24079915878023,False,,,9,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-54,1649216634,0.6918182373046875,10.684424877166748,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.684424877166748,0,9,ba5d1d0f
9,72.13459516298633,False,,,10,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-54,1649216634,0.6839463710784912,11.36837124824524,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.36837124824524,0,10,ba5d1d0f
10,71.81913774973711,False,,,11,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-55,1649216635,0.7028393745422363,12.071210622787476,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.071210622787476,0,11,ba5d1d0f
11,71.81913774973711,False,,,12,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-56,1649216636,0.70383620262146,12.775046825408936,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.775046825408936,0,12,ba5d1d0f
12,72.50262881177709,False,,,13,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-57,1649216637,0.6953511238098145,13.47039794921875,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.47039794921875,0,13,ba5d1d0f
13,72.34490010515248,False,,,14,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-57,1649216637,0.7028801441192627,14.173278093338013,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.173278093338013,0,14,ba5d1d0f
14,72.92323869610937,False,,,15,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-58,1649216638,0.695335865020752,14.868613958358765,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.868613958358765,0,15,ba5d1d0f
15,72.45005257623555,False,,,16,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-43-59,1649216639,0.7042553424835205,15.572869300842285,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.572869300842285,0,16,ba5d1d0f
16,72.08201892744479,False,,,17,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-03,1649216643,0.7160122394561768,16.288881540298462,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.288881540298462,0,17,ba5d1d0f
17,72.29232386961093,False,,,18,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-04,1649216644,0.6953105926513672,16.98419213294983,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.98419213294983,0,18,ba5d1d0f
18,74.39537329127235,False,,,19,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-05,1649216645,0.700402021408081,17.68459415435791,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.68459415435791,0,19,ba5d1d0f
19,73.39642481598318,False,,,20,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-06,1649216646,0.6843435764312744,18.368937730789185,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.368937730789185,0,20,ba5d1d0f
20,59.67402733964248,False,,,21,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-06,1649216646,0.6811497211456299,19.050087451934814,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.050087451934814,0,21,ba5d1d0f
21,60.41009463722398,False,,,22,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-07,1649216647,0.6982228755950928,19.748310327529907,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.748310327529907,0,22,ba5d1d0f
22,64.1955835962145,False,,,23,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-08,1649216648,0.7072436809539795,20.455554008483887,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.455554008483887,0,23,ba5d1d0f
23,59.148264984227126,False,,,24,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-08,1649216648,0.7045502662658691,21.160104274749756,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.160104274749756,0,24,ba5d1d0f
24,74.02733964248159,False,,,25,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-09,1649216649,0.7075948715209961,21.867699146270752,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.867699146270752,0,25,ba5d1d0f
25,72.76550998948476,False,,,26,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-10,1649216650,0.685837984085083,22.553537130355835,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.553537130355835,0,26,ba5d1d0f
26,69.97896950578338,False,,,27,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-10,1649216650,0.684807538986206,23.23834466934204,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.23834466934204,0,27,ba5d1d0f
27,70.87276550998949,False,,,28,1eb175a7b27542da843c32b4940801b2,2022-04-06_03-44-11,1649216651,0.6871957778930664,23.925540447235107,94146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.925540447235107,0,28,ba5d1d0f
