epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,29.074658254468982,False,,,1,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-43-59,1649216639,5.711125612258911,5.711125612258911,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.711125612258911,0,1,c4ebe5ff
1,53.10199789695058,False,,,2,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-05,1649216645,1.7423210144042969,7.453446626663208,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.453446626663208,0,2,c4ebe5ff
2,51.419558359621455,False,,,3,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-06,1649216646,0.9397721290588379,8.393218755722046,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.393218755722046,0,3,c4ebe5ff
3,44.79495268138801,False,,,4,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-08,1649216648,1.7460665702819824,10.139285326004028,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.139285326004028,0,4,c4ebe5ff
4,44.742376445846475,False,,,5,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-09,1649216649,1.3541748523712158,11.493460178375244,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.493460178375244,0,5,c4ebe5ff
5,47.3186119873817,False,,,6,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-10,1649216650,1.3214070796966553,12.8148672580719,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.8148672580719,0,6,c4ebe5ff
6,47.63406940063091,False,,,7,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-12,1649216652,1.7763960361480713,14.59126329421997,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.59126329421997,0,7,c4ebe5ff
7,47.68664563617245,False,,,8,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-14,1649216654,1.7870032787322998,16.37826657295227,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.37826657295227,0,8,c4ebe5ff
8,48.68559411146162,False,,,9,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-16,1649216656,1.7878718376159668,18.166138410568237,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.166138410568237,0,9,c4ebe5ff
9,50.36803364879074,False,,,10,64b944fb14fe43f4bcb618f0e7fc7b21,2022-04-06_03-44-17,1649216657,1.4101307392120361,19.576269149780273,94173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.576269149780273,0,10,c4ebe5ff
