epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-01,1649219221,6.031100511550903,6.031100511550903,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.031100511550903,0,1,c4fc0aaa
1,53.10199789695058,False,,,2,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-03,1649219223,1.7926013469696045,7.823701858520508,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.823701858520508,0,2,c4fc0aaa
2,53.10199789695058,False,,,3,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-05,1649219225,1.7825851440429688,9.606287002563477,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.606287002563477,0,3,c4fc0aaa
3,53.10199789695058,False,,,4,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-07,1649219227,1.7250971794128418,11.331384181976318,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.331384181976318,0,4,c4fc0aaa
4,53.10199789695058,False,,,5,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-08,1649219228,1.7569165229797363,13.088300704956055,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.088300704956055,0,5,c4fc0aaa
5,53.10199789695058,False,,,6,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-10,1649219230,1.7097065448760986,14.798007249832153,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.798007249832153,0,6,c4fc0aaa
6,53.10199789695058,False,,,7,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-12,1649219232,1.7787244319915771,16.57673168182373,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.57673168182373,0,7,c4fc0aaa
7,53.10199789695058,False,,,8,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-14,1649219234,1.7584123611450195,18.33514404296875,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.33514404296875,0,8,c4fc0aaa
8,53.10199789695058,False,,,9,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-15,1649219235,1.7636198997497559,20.098763942718506,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.098763942718506,0,9,c4fc0aaa
9,53.10199789695058,False,,,10,99b180fa79794860a5e5e86bb699ac7b,2022-04-06_04-27-17,1649219237,1.6608614921569824,21.75962543487549,94105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.75962543487549,0,10,c4fc0aaa
