epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-32,1649217512,4.278555631637573,4.278555631637573,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.278555631637573,0,1,ce7580e7
1,53.10199789695058,False,,,2,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-33,1649217513,0.700232744216919,4.978788375854492,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.978788375854492,0,2,ce7580e7
2,53.10199789695058,False,,,3,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-34,1649217514,0.6993072032928467,5.678095579147339,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.678095579147339,0,3,ce7580e7
3,53.10199789695058,False,,,4,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-35,1649217515,0.6980776786804199,6.376173257827759,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.376173257827759,0,4,ce7580e7
4,53.10199789695058,False,,,5,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-35,1649217515,0.6744215488433838,7.050594806671143,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.050594806671143,0,5,ce7580e7
5,53.10199789695058,False,,,6,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-36,1649217516,0.6738977432250977,7.72449254989624,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.72449254989624,0,6,ce7580e7
6,53.10199789695058,False,,,7,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-37,1649217517,0.6726982593536377,8.397190809249878,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.397190809249878,0,7,ce7580e7
7,53.10199789695058,False,,,8,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-37,1649217517,0.6826667785644531,9.079857587814331,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.079857587814331,0,8,ce7580e7
8,53.10199789695058,False,,,9,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-38,1649217518,0.6840701103210449,9.763927698135376,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.763927698135376,0,9,ce7580e7
9,53.10199789695058,False,,,10,795171b0b360456288a3eac6ccf75805,2022-04-06_03-58-39,1649217519,0.6960422992706299,10.459969997406006,94133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.459969997406006,0,10,ce7580e7
