epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-07,1649217967,5.679233074188232,5.679233074188232,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.679233074188232,0,1,dbf648da
1,53.10199789695058,False,,,2,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-08,1649217968,1.7791781425476074,7.45841121673584,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.45841121673584,0,2,dbf648da
2,53.10199789695058,False,,,3,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-10,1649217970,1.7743229866027832,9.232734203338623,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.232734203338623,0,3,dbf648da
3,53.10199789695058,False,,,4,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-12,1649217972,1.3905415534973145,10.623275756835938,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.623275756835938,0,4,dbf648da
4,53.10199789695058,False,,,5,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-13,1649217973,1.7743637561798096,12.397639513015747,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.397639513015747,0,5,dbf648da
5,53.10199789695058,False,,,6,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-15,1649217975,1.600694179534912,13.99833369255066,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.99833369255066,0,6,dbf648da
6,53.10199789695058,False,,,7,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-17,1649217977,1.9078025817871094,15.906136274337769,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.906136274337769,0,7,dbf648da
7,53.10199789695058,False,,,8,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-18,1649217978,1.2414815425872803,17.14761781692505,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.14761781692505,0,8,dbf648da
8,53.10199789695058,False,,,9,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-20,1649217980,1.6181600093841553,18.765777826309204,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.765777826309204,0,9,dbf648da
9,53.10199789695058,False,,,10,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-21,1649217981,1.4553194046020508,20.221097230911255,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.221097230911255,0,10,dbf648da
10,53.10199789695058,False,,,11,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-23,1649217983,1.78645658493042,22.007553815841675,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.007553815841675,0,11,dbf648da
11,53.10199789695058,False,,,12,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-25,1649217985,1.605438232421875,23.61299204826355,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.61299204826355,0,12,dbf648da
12,53.10199789695058,False,,,13,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-26,1649217986,1.717634916305542,25.330626964569092,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.330626964569092,0,13,dbf648da
13,53.10199789695058,False,,,14,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-28,1649217988,1.4127981662750244,26.743425130844116,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.743425130844116,0,14,dbf648da
14,53.10199789695058,False,,,15,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-29,1649217989,1.5895891189575195,28.333014249801636,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.333014249801636,0,15,dbf648da
15,53.10199789695058,False,,,16,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-31,1649217991,1.4058959484100342,29.73891019821167,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.73891019821167,0,16,dbf648da
16,53.10199789695058,False,,,17,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-33,1649217993,1.6898560523986816,31.42876625061035,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.42876625061035,0,17,dbf648da
17,53.10199789695058,False,,,18,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-34,1649217994,1.5955469608306885,33.02431321144104,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.02431321144104,0,18,dbf648da
18,53.10199789695058,False,,,19,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-36,1649217996,1.4574182033538818,34.48173141479492,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.48173141479492,0,19,dbf648da
19,53.10199789695058,False,,,20,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-37,1649217997,1.5360474586486816,36.0177788734436,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.0177788734436,0,20,dbf648da
20,53.10199789695058,False,,,21,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-39,1649217999,1.4554779529571533,37.47325682640076,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.47325682640076,0,21,dbf648da
21,53.10199789695058,False,,,22,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-40,1649218000,1.7667274475097656,39.23998427391052,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.23998427391052,0,22,dbf648da
22,53.10199789695058,False,,,23,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-42,1649218002,1.654123067855835,40.89410734176636,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.89410734176636,0,23,dbf648da
23,53.10199789695058,False,,,24,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-44,1649218004,1.736555814743042,42.6306631565094,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.6306631565094,0,24,dbf648da
24,53.10199789695058,False,,,25,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-47,1649218007,1.6998045444488525,44.33046770095825,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.33046770095825,0,25,dbf648da
25,53.10199789695058,False,,,26,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-48,1649218008,1.7674071788787842,46.097874879837036,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.097874879837036,0,26,dbf648da
26,53.10199789695058,False,,,27,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-50,1649218010,1.7654268741607666,47.8633017539978,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.8633017539978,0,27,dbf648da
27,53.10199789695058,False,,,28,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-52,1649218012,1.7599351406097412,49.623236894607544,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.623236894607544,0,28,dbf648da
28,53.10199789695058,False,,,29,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-54,1649218014,1.5805823802947998,51.203819274902344,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.203819274902344,0,29,dbf648da
29,53.10199789695058,False,,,30,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-55,1649218015,1.7192895412445068,52.92310881614685,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.92310881614685,0,30,dbf648da
30,53.10199789695058,False,,,31,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-57,1649218017,1.773766279220581,54.69687509536743,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.69687509536743,0,31,dbf648da
31,53.10199789695058,False,,,32,4f87f3aae2424e468097370922643fed,2022-04-06_04-06-59,1649218019,1.7668590545654297,56.46373414993286,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.46373414993286,0,32,dbf648da
32,53.10199789695058,False,,,33,4f87f3aae2424e468097370922643fed,2022-04-06_04-07-01,1649218021,1.7777185440063477,58.24145269393921,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.24145269393921,0,33,dbf648da
33,53.10199789695058,False,,,34,4f87f3aae2424e468097370922643fed,2022-04-06_04-07-02,1649218022,1.5971202850341797,59.83857297897339,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,59.83857297897339,0,34,dbf648da
34,53.10199789695058,False,,,35,4f87f3aae2424e468097370922643fed,2022-04-06_04-07-04,1649218024,1.4797086715698242,61.31828165054321,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,61.31828165054321,0,35,dbf648da
35,53.10199789695058,False,,,36,4f87f3aae2424e468097370922643fed,2022-04-06_04-07-06,1649218026,1.7747268676757812,63.093008518218994,94113,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,63.093008518218994,0,36,dbf648da
