epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.10304942166141,False,,,1,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-51-55,1649217115,6.3633153438568115,6.3633153438568115,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.3633153438568115,0,1,de5545fc
1,36.90851735015773,False,,,2,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-51-56,1649217116,1.5287766456604004,7.892091989517212,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.892091989517212,0,2,de5545fc
2,44.79495268138801,False,,,3,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-51-58,1649217118,1.789646863937378,9.68173885345459,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.68173885345459,0,3,de5545fc
3,46.845425867507885,False,,,4,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-00,1649217120,1.786787986755371,11.468526840209961,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.468526840209961,0,4,de5545fc
4,47.213459516298634,False,,,5,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-02,1649217122,1.8119547367095947,13.280481576919556,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.280481576919556,0,5,de5545fc
5,47.003154574132495,False,,,6,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-03,1649217123,1.7852613925933838,15.06574296951294,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.06574296951294,0,6,de5545fc
6,46.004206098843326,False,,,7,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-05,1649217125,1.7760295867919922,16.84177255630493,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.84177255630493,0,7,de5545fc
7,46.68769716088328,False,,,8,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-07,1649217127,1.7760436534881592,18.61781620979309,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.61781620979309,0,8,de5545fc
8,47.1608832807571,False,,,9,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-09,1649217129,1.789541244506836,20.407357454299927,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.407357454299927,0,9,de5545fc
9,47.84437434279706,False,,,10,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-11,1649217131,1.7860336303710938,22.19339108467102,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.19339108467102,0,10,de5545fc
10,48.00210304942166,False,,,11,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-12,1649217132,1.7911369800567627,23.984528064727783,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.984528064727783,0,11,de5545fc
11,47.68664563617245,False,,,12,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-14,1649217134,1.7923712730407715,25.776899337768555,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.776899337768555,0,12,de5545fc
12,47.84437434279706,False,,,13,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-16,1649217136,1.8007595539093018,27.577658891677856,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.577658891677856,0,13,de5545fc
13,47.84437434279706,False,,,14,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-18,1649217138,1.7780826091766357,29.355741500854492,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.355741500854492,0,14,de5545fc
14,47.73922187171398,False,,,15,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-20,1649217140,1.7863938808441162,31.14213538169861,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.14213538169861,0,15,de5545fc
15,47.73922187171398,False,,,16,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-21,1649217141,1.8114118576049805,32.95354723930359,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.95354723930359,0,16,de5545fc
16,47.73922187171398,False,,,17,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-23,1649217143,1.772777795791626,34.726325035095215,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.726325035095215,0,17,de5545fc
17,47.73922187171398,False,,,18,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-25,1649217145,1.7895605564117432,36.51588559150696,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.51588559150696,0,18,de5545fc
18,47.73922187171398,False,,,19,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-27,1649217147,1.7944400310516357,38.310325622558594,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.310325622558594,0,19,de5545fc
19,47.73922187171398,False,,,20,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-29,1649217149,1.7897469997406006,40.100072622299194,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.100072622299194,0,20,de5545fc
20,47.73922187171398,False,,,21,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-30,1649217150,1.776210069656372,41.876282691955566,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.876282691955566,0,21,de5545fc
21,47.73922187171398,False,,,22,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-32,1649217152,1.7730650901794434,43.64934778213501,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.64934778213501,0,22,de5545fc
22,47.73922187171398,False,,,23,80aacc3e423f484e85e7e367f333d971,2022-04-06_03-52-34,1649217154,1.8012330532073975,45.45058083534241,94164,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.45058083534241,0,23,de5545fc
