epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-35,1649216255,4.5962300300598145,4.5962300300598145,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.5962300300598145,0,1,e0b82207
1,53.10199789695058,False,,,2,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-37,1649216257,1.7637550830841064,6.359985113143921,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.359985113143921,0,2,e0b82207
2,53.10199789695058,False,,,3,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-39,1649216259,1.8002464771270752,8.160231590270996,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.160231590270996,0,3,e0b82207
3,53.10199789695058,False,,,4,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-40,1649216260,1.7960777282714844,9.95630931854248,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.95630931854248,0,4,e0b82207
4,53.10199789695058,False,,,5,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-42,1649216262,1.7836706638336182,11.739979982376099,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.739979982376099,0,5,e0b82207
5,53.10199789695058,False,,,6,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-44,1649216264,1.784644365310669,13.524624347686768,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.524624347686768,0,6,e0b82207
6,53.10199789695058,False,,,7,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-46,1649216266,1.5456092357635498,15.070233583450317,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.070233583450317,0,7,e0b82207
7,53.10199789695058,False,,,8,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-46,1649216266,0.6992652416229248,15.769498825073242,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.769498825073242,0,8,e0b82207
8,53.10199789695058,False,,,9,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-47,1649216267,0.6943719387054443,16.463870763778687,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.463870763778687,0,9,e0b82207
9,53.10199789695058,False,,,10,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-48,1649216268,0.7203752994537354,17.184246063232422,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.184246063232422,0,10,e0b82207
10,53.10199789695058,False,,,11,c1e87218052149f7b7dd332f947fd364,2022-04-06_03-37-48,1649216268,0.7377192974090576,17.92196536064148,94172,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.92196536064148,0,11,e0b82207
