epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-38,1649216258,4.484864711761475,4.484864711761475,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.484864711761475,0,1,e0e09dd9
1,53.10199789695058,False,,,2,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-39,1649216259,1.7995705604553223,6.284435272216797,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.284435272216797,0,2,e0e09dd9
2,53.10199789695058,False,,,3,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-41,1649216261,1.804147481918335,8.088582754135132,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.088582754135132,0,3,e0e09dd9
3,53.10199789695058,False,,,4,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-43,1649216263,1.7839431762695312,9.872525930404663,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.872525930404663,0,4,e0e09dd9
4,53.10199789695058,False,,,5,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-45,1649216265,1.785041093826294,11.657567024230957,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.657567024230957,0,5,e0e09dd9
5,53.10199789695058,False,,,6,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-46,1649216266,1.1498501300811768,12.807417154312134,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.807417154312134,0,6,e0e09dd9
6,53.10199789695058,False,,,7,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-47,1649216267,0.7164433002471924,13.523860454559326,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.523860454559326,0,7,e0e09dd9
7,53.10199789695058,False,,,8,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-47,1649216267,0.7179248332977295,14.241785287857056,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.241785287857056,0,8,e0e09dd9
8,53.10199789695058,False,,,9,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-48,1649216268,0.7085082530975342,14.95029354095459,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.95029354095459,0,9,e0e09dd9
9,53.10199789695058,False,,,10,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-49,1649216269,0.7207114696502686,15.671005010604858,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.671005010604858,0,10,e0e09dd9
10,53.10199789695058,False,,,11,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-50,1649216270,0.7333202362060547,16.404325246810913,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.404325246810913,0,11,e0e09dd9
11,53.10199789695058,False,,,12,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-50,1649216270,0.7180447578430176,17.12237000465393,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.12237000465393,0,12,e0e09dd9
12,53.10199789695058,False,,,13,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-51,1649216271,0.7123656272888184,17.83473563194275,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.83473563194275,0,13,e0e09dd9
13,53.10199789695058,False,,,14,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-52,1649216272,0.7112114429473877,18.545947074890137,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.545947074890137,0,14,e0e09dd9
14,53.10199789695058,False,,,15,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-52,1649216272,0.7065279483795166,19.252475023269653,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.252475023269653,0,15,e0e09dd9
15,53.10199789695058,False,,,16,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-53,1649216273,0.7101790904998779,19.96265411376953,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.96265411376953,0,16,e0e09dd9
16,53.10199789695058,False,,,17,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-54,1649216274,0.6866500377655029,20.649304151535034,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.649304151535034,0,17,e0e09dd9
17,53.10199789695058,False,,,18,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-55,1649216275,0.6912460327148438,21.340550184249878,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.340550184249878,0,18,e0e09dd9
18,53.10199789695058,False,,,19,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-55,1649216275,0.6995406150817871,22.040090799331665,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.040090799331665,0,19,e0e09dd9
19,53.10199789695058,False,,,20,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-56,1649216276,0.8028354644775391,22.842926263809204,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.842926263809204,0,20,e0e09dd9
20,53.10199789695058,False,,,21,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-57,1649216277,0.7236466407775879,23.566572904586792,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.566572904586792,0,21,e0e09dd9
21,53.10199789695058,False,,,22,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-57,1649216277,0.7158260345458984,24.28239893913269,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.28239893913269,0,22,e0e09dd9
22,53.10199789695058,False,,,23,a895fdd246a14f519844937fe88ba73a,2022-04-06_03-37-58,1649216278,0.7808456420898438,25.063244581222534,94170,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.063244581222534,0,23,e0e09dd9
