epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-04,1649218444,4.272880792617798,4.272880792617798,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.272880792617798,0,1,f555866b
1,53.10199789695058,False,,,2,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-05,1649218445,0.6950712203979492,4.967952013015747,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.967952013015747,0,2,f555866b
2,53.10199789695058,False,,,3,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-06,1649218446,0.6893014907836914,5.6572535037994385,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.6572535037994385,0,3,f555866b
3,53.10199789695058,False,,,4,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-06,1649218446,0.6852006912231445,6.342454195022583,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.342454195022583,0,4,f555866b
4,53.10199789695058,False,,,5,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-07,1649218447,0.6845781803131104,7.027032375335693,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.027032375335693,0,5,f555866b
5,53.10199789695058,False,,,6,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-08,1649218448,0.6804509162902832,7.707483291625977,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.707483291625977,0,6,f555866b
6,53.10199789695058,False,,,7,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-09,1649218449,0.6726858615875244,8.380169153213501,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.380169153213501,0,7,f555866b
7,53.10199789695058,False,,,8,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-09,1649218449,0.689422607421875,9.069591760635376,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.069591760635376,0,8,f555866b
8,53.10199789695058,False,,,9,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-10,1649218450,0.705665111541748,9.775256872177124,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.775256872177124,0,9,f555866b
9,53.10199789695058,False,,,10,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-11,1649218451,0.6881568431854248,10.463413715362549,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.463413715362549,0,10,f555866b
10,53.10199789695058,False,,,11,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-11,1649218451,0.6919698715209961,11.155383586883545,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.155383586883545,0,11,f555866b
11,53.10199789695058,False,,,12,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-12,1649218452,0.6941995620727539,11.849583148956299,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.849583148956299,0,12,f555866b
12,53.10199789695058,False,,,13,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-13,1649218453,0.6949119567871094,12.544495105743408,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.544495105743408,0,13,f555866b
13,53.10199789695058,False,,,14,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-13,1649218453,0.673417329788208,13.217912435531616,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.217912435531616,0,14,f555866b
14,53.10199789695058,False,,,15,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-14,1649218454,0.697772741317749,13.915685176849365,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.915685176849365,0,15,f555866b
15,53.10199789695058,False,,,16,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-15,1649218455,0.7152726650238037,14.630957841873169,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.630957841873169,0,16,f555866b
16,53.10199789695058,False,,,17,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-16,1649218456,0.7416956424713135,15.372653484344482,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.372653484344482,0,17,f555866b
17,53.10199789695058,False,,,18,15f15fb6b1ef461aba7e314d588a95b6,2022-04-06_04-14-16,1649218456,0.6981277465820312,16.070781230926514,94126,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.070781230926514,0,18,f555866b
