epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-17,1649218877,5.4614176750183105,5.4614176750183105,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.4614176750183105,0,1,f73ed239
1,53.10199789695058,False,,,2,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-19,1649218879,1.763638973236084,7.2250566482543945,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2250566482543945,0,2,f73ed239
2,53.10199789695058,False,,,3,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-20,1649218880,1.714627981185913,8.939684629440308,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.939684629440308,0,3,f73ed239
3,53.10199789695058,False,,,4,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-22,1649218882,1.7620697021484375,10.701754331588745,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.701754331588745,0,4,f73ed239
4,53.10199789695058,False,,,5,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-24,1649218884,1.697249412536621,12.399003744125366,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.399003744125366,0,5,f73ed239
5,53.10199789695058,False,,,6,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-26,1649218886,1.7945647239685059,14.193568468093872,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.193568468093872,0,6,f73ed239
6,53.10199789695058,False,,,7,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-27,1649218887,1.6337347030639648,15.827303171157837,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.827303171157837,0,7,f73ed239
7,53.10199789695058,False,,,8,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-29,1649218889,1.7538514137268066,17.581154584884644,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.581154584884644,0,8,f73ed239
8,53.10199789695058,False,,,9,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-31,1649218891,1.4146959781646729,18.995850563049316,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.995850563049316,0,9,f73ed239
9,53.10199789695058,False,,,10,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-32,1649218892,1.7543537616729736,20.75020432472229,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.75020432472229,0,10,f73ed239
10,53.10199789695058,False,,,11,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-34,1649218894,1.4956386089324951,22.245842933654785,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.245842933654785,0,11,f73ed239
11,53.10199789695058,False,,,12,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-36,1649218896,1.7925007343292236,24.03834366798401,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.03834366798401,0,12,f73ed239
12,53.10199789695058,False,,,13,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-37,1649218897,1.6824023723602295,25.72074604034424,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.72074604034424,0,13,f73ed239
13,53.10199789695058,False,,,14,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-39,1649218899,1.7716856002807617,27.492431640625,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.492431640625,0,14,f73ed239
14,53.10199789695058,False,,,15,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-41,1649218901,1.7060518264770508,29.19848346710205,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.19848346710205,0,15,f73ed239
15,53.10199789695058,False,,,16,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-43,1649218903,1.7621920108795166,30.960675477981567,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.960675477981567,0,16,f73ed239
16,53.10199789695058,False,,,17,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-44,1649218904,1.5793366432189941,32.54001212120056,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.54001212120056,0,17,f73ed239
17,53.10199789695058,False,,,18,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-45,1649218905,0.6718442440032959,33.21185636520386,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.21185636520386,0,18,f73ed239
18,53.10199789695058,False,,,19,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-45,1649218905,0.6510324478149414,33.8628888130188,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.8628888130188,0,19,f73ed239
19,53.10199789695058,False,,,20,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-46,1649218906,0.6558094024658203,34.51869821548462,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.51869821548462,0,20,f73ed239
20,53.10199789695058,False,,,21,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-47,1649218907,0.6517753601074219,35.17047357559204,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.17047357559204,0,21,f73ed239
21,53.10199789695058,False,,,22,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-47,1649218907,0.6633040904998779,35.83377766609192,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.83377766609192,0,22,f73ed239
22,53.10199789695058,False,,,23,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-49,1649218909,1.501903772354126,37.335681438446045,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.335681438446045,0,23,f73ed239
23,53.10199789695058,False,,,24,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-51,1649218911,1.741377592086792,39.07705903053284,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.07705903053284,0,24,f73ed239
24,53.10199789695058,False,,,25,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-52,1649218912,1.6481621265411377,40.725221157073975,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.725221157073975,0,25,f73ed239
25,53.10199789695058,False,,,26,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-54,1649218914,1.7470812797546387,42.47230243682861,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.47230243682861,0,26,f73ed239
26,53.10199789695058,False,,,27,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-56,1649218916,1.5771551132202148,44.04945755004883,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.04945755004883,0,27,f73ed239
27,53.10199789695058,False,,,28,723d1225a78b4d1d90cab73835456e45,2022-04-06_04-21-58,1649218918,1.7516095638275146,45.80106711387634,94127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.80106711387634,0,28,f73ed239
