epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-06-55,1649218015,5.720603704452515,5.720603704452515,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.720603704452515,0,1,f82fe76d
1,53.10199789695058,False,,,2,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-06-57,1649218017,1.7841377258300781,7.504741430282593,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.504741430282593,0,2,f82fe76d
2,53.10199789695058,False,,,3,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-06-58,1649218018,1.7840023040771484,9.288743734359741,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.288743734359741,0,3,f82fe76d
3,53.10199789695058,False,,,4,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-00,1649218020,1.7910454273223877,11.079789161682129,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.079789161682129,0,4,f82fe76d
4,53.10199789695058,False,,,5,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-02,1649218022,1.5934717655181885,12.673260927200317,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.673260927200317,0,5,f82fe76d
5,53.10199789695058,False,,,6,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-04,1649218024,1.7878541946411133,14.46111512184143,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.46111512184143,0,6,f82fe76d
6,53.10199789695058,False,,,7,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-05,1649218025,1.5257527828216553,15.986867904663086,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.986867904663086,0,7,f82fe76d
7,53.10199789695058,False,,,8,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-07,1649218027,1.770221471786499,17.757089376449585,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.757089376449585,0,8,f82fe76d
8,53.10199789695058,False,,,9,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-09,1649218029,1.7813835144042969,19.538472890853882,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.538472890853882,0,9,f82fe76d
9,53.10199789695058,False,,,10,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-10,1649218030,1.3588595390319824,20.897332429885864,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.897332429885864,0,10,f82fe76d
10,53.10199789695058,False,,,11,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-12,1649218032,1.4099268913269043,22.30725932121277,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.30725932121277,0,11,f82fe76d
11,53.10199789695058,False,,,12,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-13,1649218033,1.4541683197021484,23.761427640914917,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.761427640914917,0,12,f82fe76d
12,53.10199789695058,False,,,13,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-15,1649218035,1.7202248573303223,25.48165249824524,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.48165249824524,0,13,f82fe76d
13,53.10199789695058,False,,,14,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-16,1649218036,1.5762429237365723,27.05789542198181,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.05789542198181,0,14,f82fe76d
14,53.10199789695058,False,,,15,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-18,1649218038,1.2982945442199707,28.356189966201782,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.356189966201782,0,15,f82fe76d
15,53.10199789695058,False,,,16,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-19,1649218039,1.0641686916351318,29.420358657836914,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.420358657836914,0,16,f82fe76d
16,53.10199789695058,False,,,17,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-20,1649218040,0.6348845958709717,30.055243253707886,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.055243253707886,0,17,f82fe76d
17,53.10199789695058,False,,,18,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-20,1649218040,0.6393649578094482,30.694608211517334,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.694608211517334,0,18,f82fe76d
18,53.10199789695058,False,,,19,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-21,1649218041,0.6462910175323486,31.340899229049683,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.340899229049683,0,19,f82fe76d
19,53.10199789695058,False,,,20,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-21,1649218041,0.6361331939697266,31.97703242301941,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.97703242301941,0,20,f82fe76d
20,53.10199789695058,False,,,21,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-22,1649218042,0.6424345970153809,32.61946702003479,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.61946702003479,0,21,f82fe76d
21,53.10199789695058,False,,,22,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-23,1649218043,0.634636640548706,33.254103660583496,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.254103660583496,0,22,f82fe76d
22,53.10199789695058,False,,,23,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-24,1649218044,1.581571102142334,34.83567476272583,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.83567476272583,0,23,f82fe76d
23,53.10199789695058,False,,,24,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-26,1649218046,2.0016186237335205,36.83729338645935,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.83729338645935,0,24,f82fe76d
24,53.10199789695058,False,,,25,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-28,1649218048,1.4359593391418457,38.273252725601196,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.273252725601196,0,25,f82fe76d
25,53.10199789695058,False,,,26,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-29,1649218049,1.4200859069824219,39.69333863258362,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.69333863258362,0,26,f82fe76d
26,53.10199789695058,False,,,27,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-31,1649218051,1.5142865180969238,41.20762515068054,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.20762515068054,0,27,f82fe76d
27,53.10199789695058,False,,,28,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-32,1649218052,1.6978871822357178,42.90551233291626,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.90551233291626,0,28,f82fe76d
28,53.10199789695058,False,,,29,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-34,1649218054,1.4999454021453857,44.405457735061646,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.405457735061646,0,29,f82fe76d
29,53.10199789695058,False,,,30,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-35,1649218055,1.4243764877319336,45.82983422279358,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.82983422279358,0,30,f82fe76d
30,53.10199789695058,False,,,31,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-37,1649218057,1.4125566482543945,47.242390871047974,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.242390871047974,0,31,f82fe76d
31,53.10199789695058,False,,,32,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-38,1649218058,1.5912132263183594,48.83360409736633,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.83360409736633,0,32,f82fe76d
32,53.10199789695058,False,,,33,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-40,1649218060,1.6470959186553955,50.48070001602173,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,50.48070001602173,0,33,f82fe76d
33,53.10199789695058,False,,,34,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-41,1649218061,1.4108538627624512,51.89155387878418,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.89155387878418,0,34,f82fe76d
34,53.10199789695058,False,,,35,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-43,1649218063,1.4492523670196533,53.34080624580383,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,53.34080624580383,0,35,f82fe76d
35,53.10199789695058,False,,,36,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-44,1649218064,1.4020135402679443,54.74281978607178,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.74281978607178,0,36,f82fe76d
36,53.10199789695058,False,,,37,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-46,1649218066,1.7589850425720215,56.5018048286438,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.5018048286438,0,37,f82fe76d
37,53.10199789695058,False,,,38,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-48,1649218068,1.7755513191223145,58.27735614776611,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.27735614776611,0,38,f82fe76d
38,53.10199789695058,False,,,39,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-49,1649218069,1.5783178806304932,59.855674028396606,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,59.855674028396606,0,39,f82fe76d
39,53.10199789695058,False,,,40,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-50,1649218070,0.8179752826690674,60.673649311065674,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,60.673649311065674,0,40,f82fe76d
40,53.10199789695058,False,,,41,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-51,1649218071,0.6394932270050049,61.31314253807068,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,61.31314253807068,0,41,f82fe76d
41,53.10199789695058,False,,,42,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-52,1649218072,0.6385164260864258,61.951658964157104,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,61.951658964157104,0,42,f82fe76d
42,53.10199789695058,False,,,43,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-52,1649218072,0.6335558891296387,62.58521485328674,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,62.58521485328674,0,43,f82fe76d
43,53.10199789695058,False,,,44,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-53,1649218073,0.6407208442687988,63.22593569755554,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,63.22593569755554,0,44,f82fe76d
44,53.10199789695058,False,,,45,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-53,1649218073,0.6492657661437988,63.87520146369934,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,63.87520146369934,0,45,f82fe76d
45,53.10199789695058,False,,,46,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-54,1649218074,0.653048038482666,64.528249502182,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,64.528249502182,0,46,f82fe76d
46,53.10199789695058,False,,,47,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-55,1649218075,0.6450064182281494,65.17325592041016,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,65.17325592041016,0,47,f82fe76d
47,53.10199789695058,False,,,48,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-56,1649218076,0.651587724685669,65.82484364509583,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,65.82484364509583,0,48,f82fe76d
48,53.10199789695058,False,,,49,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-56,1649218076,0.6442663669586182,66.46911001205444,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,66.46911001205444,0,49,f82fe76d
49,53.10199789695058,False,,,50,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-57,1649218077,0.6478292942047119,67.11693930625916,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,67.11693930625916,0,50,f82fe76d
50,53.10199789695058,False,,,51,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-58,1649218078,0.6370680332183838,67.75400733947754,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,67.75400733947754,0,51,f82fe76d
51,53.10199789695058,False,,,52,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-58,1649218078,0.6508004665374756,68.40480780601501,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,68.40480780601501,0,52,f82fe76d
52,53.10199789695058,False,,,53,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-07-59,1649218079,0.6519451141357422,69.05675292015076,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,69.05675292015076,0,53,f82fe76d
53,53.10199789695058,False,,,54,69c2eee26359464ab7757b2945c110f8,2022-04-06_04-08-00,1649218080,0.6441957950592041,69.70094871520996,94156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,69.70094871520996,0,54,f82fe76d
